t [mm],p [MeV/c],delta p [MeV/c],delta p error [p/c],delta E [MeV],delta E error [MeV]
5,500,6.4599442,0.006164407683746187,-6.318336,0.006025518278010888
10,500,12.924889,0.008678863686809694,-12.637911,0.008478307859937495
20,500,25.830858,0.012048248325236335,-25.242237,0.011755078449670766
30,500,38.755096,0.014606180898788079,-37.84808,0.01423137421952785
40,500,51.672832,0.01665456241134185,-50.429916,0.0162031555378101
50,500,64.61157,0.018497311526477624,-63.013,0.017966811789399965
60,500,77.5627,0.020032203168508508,-75.58724,0.019423320820291617
70,500,90.54958,0.021376115153304905,-88.1733,0.020686440030058196
80,500,103.54012,0.022586864810253023,-100.73787,0.021811961987956877
90,500,116.58774,0.023786892768976834,-113.32999,0.022917150418590222
100,500,129.69244,0.02491830281069367,-125.946594,0.02394487481042361
110,500,142.82469,0.025896357299661672,-138.55586,0.024813240198544317
120,500,155.98918,0.026820849776875388,-151.15839,0.025616656803020856
130,500,169.23192,0.02773674069125886,-163.7936,0.026396234523372128
140,500,182.5542,0.028594307184871628,-176.45715,0.027102094255753786
150,500,195.97566,0.029485736756291018,-189.16092,0.027818287107127332
160,500,209.51953,0.030369067144043554,-201.9187,0.02850064974316586
170,500,223.21951,0.03130028185514824,-214.75214,0.029195784563028928
180,500,237.09514,0.032301751386168275,-227.66676,0.02991595869095963
190,500,251.19212,0.033420960346952744,-240.6889,0.030693039931370836
200,500,265.5802,0.03474542993096751,-253.86159,0.031588184402445346
5,1000,6.7922077,0.011926918441387989,-6.754248,0.01185777536416441
10,1000,13.552044,0.01648073114836187,-13.47579,0.016383759237906855
20,1000,27.070978,0.023025279553641392,-26.916552,0.022886253005961147
30,1000,40.58493,0.02798552215374016,-40.35017,0.02781187807560778
40,1000,54.052628,0.0319767935821678,-53.735546,0.03177283107970861
50,1000,67.52437,0.03551698307221276,-67.12259,0.03528376372757766
60,1000,81.02128,0.03866943002400489,-80.532135,0.03840814982650246
70,1000,94.47425,0.04148467853700746,-93.89549,0.04119570658936401
80,1000,107.93192,0.04417736798420402,-107.260796,0.04385991412757213
90,1000,121.33916,0.04644342895539329,-120.57324,0.0460994685868915
100,1000,134.77644,0.048839860104658794,-133.91257,0.04846366306470663
110,1000,148.1524,0.05090001231513382,-147.18799,0.05049531527095244
120,1000,161.5375,0.05279381196124067,-160.46931,0.05236100396050686
130,1000,174.88988,0.05465298334824066,-173.71484,0.05418976327950183
140,1000,188.2386,0.05621700326287068,-186.95326,0.05572511430098868
150,1000,201.5743,0.05766573839848842,-200.17516,0.05714456530527672
160,1000,214.88937,0.05915367385738355,-213.3727,0.05860102710870772
170,1000,228.19199,0.06046130230539532,-226.554,0.05987710952029223
180,1000,241.47388,0.0618570441979733,-239.71043,0.06123832863143684
190,1000,254.73651,0.0631187351384925,-252.84348,0.06246493272463754
200,1000,267.9846,0.06425938640819506,-265.95746,0.06356942349070001
5,3000,7.65131,0.034081523393025254,-7.6466765,0.034058250362992
10,3000,15.202202,0.04605526663542775,-15.192827,0.04602388106803679
20,3000,30.488632,0.06831560470975948,-30.46957,0.06826655552478335
30,3000,45.660812,0.08452085950119602,-45.632034,0.08445777472184711
40,3000,60.852016,0.09979778669060645,-60.81338,0.09971954443439514
50,3000,76.00361,0.10923605741159705,-75.95508,0.10915104767069031
60,3000,91.12148,0.11771168660860762,-91.06297,0.11761970430771164
70,3000,106.39412,0.12719827668779346,-106.32542,0.12709841708296502
80,3000,121.54007,0.13706688584957255,-121.46107,0.1369508011700287
90,3000,136.7311,0.14640332462393846,-136.64166,0.14627650364960149
100,3000,151.94951,0.1513896338866854,-151.84964,0.15125650383125092
110,3000,167.0384,0.15791877283770636,-166.92802,0.15777970766200425
120,3000,182.21178,0.16455836292931797,-182.09073,0.16441297660926574
130,3000,197.28201,0.1707878989393485,-197.15018,0.17063609496892557
140,3000,212.51573,0.17778606921379717,-212.37294,0.17762707554483864
150,3000,227.54066,0.18250926687459762,-227.387,0.1823451221967889
160,3000,242.58368,0.18732385573691776,-242.41893,0.1871542946587022
170,3000,257.6212,0.1920201885342303,-257.44528,0.19184506629657697
180,3000,272.77304,0.19722983685517892,-272.5858,0.19704783856355695
190,3000,287.8762,0.201803208918979,-287.67746,0.20161566153117183
200,3000,302.92728,0.20614359132251614,-302.71695,0.2059504345222609
