t [mm],p [MeV/c],sigma_x [deg],sigma_x_err [deg],sigma_y [deg],sigma_y_err [deg]
5,500,0.9114041139898563,0.0011580133650828416,0.9144360223516579,0.0010101175362087801
10,500,1.3245529669817364,0.0017922700902000784,1.328743985702432,0.001803876260416026
20,500,1.9288656690603412,0.0031677639214527545,1.9330635031412697,0.0033799267949418356
30,500,2.4030774331354636,0.004648890586859507,2.405426614047328,0.004643952174133377
40,500,2.815514397222479,0.0054837493281406306,2.8202756136995117,0.0057811593262841725
50,500,3.1916315636273818,0.007064384466017864,3.202893050840436,0.006727105689849975
60,500,3.5499845506194174,0.0077574145380379595,3.560357011003997,0.007979994779569751
70,500,3.9103830971982627,0.009586086348470163,3.913672631022676,0.009235478275753018
80,500,4.26376023195854,0.010697773537746067,4.262272347305673,0.010798128108749153
90,500,4.602772109942128,0.012102010096718036,4.601843868651142,0.011657021961987441
100,500,4.912794336236268,0.013331451354476673,4.961730908988519,0.013131062984485848
110,500,5.2584751427840954,0.014647618095639353,5.310869382529154,0.014480792432552368
120,500,5.611977993242649,0.016825009015711073,5.660357114187824,0.016624788955761062
130,500,5.9780565909462355,0.017257264280176186,6.017979341053355,0.01765552204182732
140,500,6.34936607706384,0.019651959622056715,6.389861118616557,0.019412722481343722
150,500,6.741628297987255,0.020899386853881152,6.760175336277371,0.02158877014528723
160,500,-7.127707799069777,0.022556907318246357,-7.143046364607671,0.021920396137093505
170,500,-7.533180458043956,0.02404418568725582,0.0011446933485755074,inf
180,500,7.983394582587235,0.02691020350499216,7.988869558644779,0.027591769627346368
190,500,-8.450967992928215,0.030286957777905733,-8.462187568011686,0.028596413875570315
200,500,8.967365648191786,0.03180430994698046,8.973224736621857,0.031999772927292225
5,1000,0.44869313422806356,0.0004581677534277732,0.4499944151863238,0.0004135667494231201
10,1000,0.6534283189161044,0.00077509456494574,0.6526334966902549,0.000644447644372628
20,1000,0.9477902111713816,0.0011727626546799799,0.9460024796236642,0.0011389872718045484
30,1000,1.176909613284126,0.0016555135613493688,1.1719764118175373,0.001529169704830614
40,1000,1.3741338982617854,0.0019548690723554694,1.3740240953263358,0.0018881170361915204
50,1000,1.5501723242086751,0.0022820013038731615,1.549242368865503,0.00231939639983292
60,1000,1.715343110069526,0.0030298014923836668,1.7124108270364464,0.0021451842693611107
70,1000,1.8731814309722403,0.0031194175591729464,1.868332042991559,0.002795244176493606
80,1000,2.0180856273758785,0.0032015182454821585,2.0119304040565247,0.003921319604821266
90,1000,2.1597411148111987,0.003943799460365003,2.153373279569162,0.003583205496574497
100,1000,2.28034195181902,0.00416787519274064,2.300863721098995,0.004548410097350553
110,1000,2.4095496420193547,0.00439181959635215,2.4284222027326328,0.004505879738901354
120,1000,2.53889599520919,0.00501642854012045,2.552941159385335,0.00504672864355485
130,1000,2.665709028176716,0.0053451957390869545,2.6817146720902576,0.005228028907694626
140,1000,2.789520265805451,0.005454958863421843,2.800593484523413,0.005602134266444527
150,1000,2.9170766990724046,0.005722710921701279,2.9247300655144843,0.005970065371175476
160,1000,3.0338445809880046,0.006574520888181965,3.04769635661686,0.00643616759777326
170,1000,3.1566050103485943,0.006880665630709257,3.1698627178400005,0.006129118496195178
180,1000,3.279853510991708,0.006677864023223712,3.2893918789791385,0.00714553028835812
190,1000,3.406077526067811,0.007777409554215972,3.4153484683705995,0.008179805159896433
200,1000,3.525856051055937,0.008061415329594005,3.540233458859797,0.007620245114435764
5,3000,0.14975970758730456,7.849893306185308e-05,0.15033308729625158,0.00010044254574885267
10,3000,0.2167967845099183,0.00012249738578695103,0.21732009116185133,0.00011953850820837807
20,3000,0.3142664805152142,0.00020754683287433007,0.3147461160594582,0.00019931871913468093
30,3000,0.38920517858955855,0.0002593426444149389,0.38979184430497354,0.00028711153236667217
40,3000,0.45136076725456215,0.00040254190676260036,0.4528093962084385,0.00031508420495580963
50,3000,0.5074112686141758,0.0004908030645464885,0.5088787591900981,0.00042485035377945614
60,3000,0.5601368927658504,0.000528361994222944,0.559681046216107,0.0005260678462473032
70,3000,0.6077368957665026,0.000604679459170334,0.6079195931219338,0.0005292853132084527
80,3000,0.6514624195346355,0.0006810888070059625,0.6524109540734883,0.0006889374756133973
90,3000,0.6960116597776254,0.0005805726865402906,0.6948289595515401,0.0005797281574807619
100,3000,0.7368890976401211,0.0007719393552494747,0.7375034216417525,0.0006909232029522744
110,3000,0.7750767013492013,0.0008393993063886199,0.7752907518813512,0.0008404525328109827
120,3000,0.8118184019657136,0.0008816842272545387,0.8101232196493843,0.0009115740170650475
130,3000,0.8478251921235774,0.0010674865012786864,0.8463676378841943,0.0009622674242207896
140,3000,0.8830008856653557,0.0009651777345034375,0.8815457118332546,0.0009276894264716731
150,3000,0.9167353477696139,0.0012305401344213892,0.9151368328849045,0.0010307655274025133
160,3000,0.9498768477670595,0.0011758940025535134,0.9481775388674663,0.00114562522115695
170,3000,0.9825212860381687,0.0013004284349974469,0.9818414375650556,0.0012314364024204015
180,3000,1.0127389507223843,0.0010197057874426622,1.0118845440243367,0.0012446271380558583
190,3000,1.045310172852747,0.0012150641537947882,1.042682795604207,0.0011284443054308162
200,3000,1.077143287222978,0.001358800173697755,1.0725447783386328,0.0013071231378382387
